participant_id,session_date,condition,block_order,tia_unanswered_item_count,tia_reliability_competence,tia_understandability_predictability,tia_familiarity,tia_intention_of_developers,tia_propensity_to_trust,tia_trust_in_automation_core,tlx_raw_mean,tlx_weighted_score,tlx_weight_sum_check,tlx_weight_mental,tlx_rating_mental,tlx_weight_physical,tlx_rating_physical,tlx_weight_temporal,tlx_rating_temporal,tlx_weight_performance,tlx_rating_performance,tlx_weight_effort,tlx_rating_effort,tlx_weight_frustration,tlx_rating_frustration,vdl_usefulness,vdl_satisfying
P24,2026-07-30,Fixed Baseline,1st (first block completed),0,3.67,4.0,1.0,4.0,1.33,3.0,16.67,6.67,15,5,0,0,0,2,0,1,100,4,0,3,0,2.0,2.0
P25,2026-07-30,Adaptive System,1st (first block completed),0,3.83,3.25,1.0,4.0,4.0,4.0,21.67,23.67,15,4,20,1,15,5,0,3,80,2,10,0,5,1.6,1.0
P25,2026-07-30,Fixed Baseline,2nd (second block completed),0,3.83,4.0,1.0,4.0,3.67,4.5,21.67,34.33,15,3,10,1,10,4,5,5,85,2,15,0,5,1.8,1.25
P26,2026-07-31,Adaptive System,2nd (second block completed),0,3.0,4.25,1.0,5.0,2.0,2.5,31.67,46.67,15,3,50,0,10,5,60,2,0,1,10,4,60,1.0,-0.75
P26,2026-07-31,Fixed Baseline,1st (first block completed),0,2.67,4.5,1.0,4.5,2.67,3.0,22.5,25.33,15,3,10,0,50,5,60,2,5,1,0,4,10,0.8,-0.5
P27,2026-07-31,Adaptive System,1st (first block completed),0,4.67,4.25,2.5,5.0,3.33,5.0,30.0,33.67,15,4,15,2,20,5,20,3,95,1,20,0,10,1.8,2.0
P27,2026-07-31,Fixed Baseline,2nd (second block completed),0,4.17,5.0,2.0,5.0,3.67,4.5,34.17,32.0,15,4,15,3,25,5,25,2,100,1,20,0,20,2.0,1.75
P28,2026-07-31,Adaptive System,2nd (second block completed),4,2.33,1.0,1.0,1.0,3.67,1.0,75.0,85.67,15,0,25,4,80,1,85,2,100,3,60,5,100,-1.6,-2.0
P28,2026-07-31,Fixed Baseline,1st (first block completed),3,1.75,1.75,3.0,1.0,3.0,1.0,56.67,78.67,15,0,0,4,100,2,0,2,70,2,70,5,100,-1.6,-2.0
P29,2026-07-31,Adaptive System,1st (first block completed),0,4.17,4.5,2.0,4.0,3.67,5.0,58.33,49.67,15,3,70,0,90,5,40,2,90,2,25,3,35,2.0,1.75
P29,2026-07-31,Fixed Baseline,2nd (second block completed),0,4.67,4.75,3.0,5.0,3.33,5.0,45.83,35.0,15,3,30,1,80,3,25,1,90,5,30,2,20,2.0,2.0
P30,2026-07-31,Adaptive System,2nd (second block completed),3,3.2,4.25,4.0,2.0,1.33,2.0,5.83,5.0,15,2,15,1,5,3,5,4,5,4,0,1,5,1.2,0.0
P30,2026-07-31,Fixed Baseline,1st (first block completed),2,4.0,3.0,5.0,1.0,2.67,2.5,40.83,41.0,15,1,75,1,10,3,10,4,85,4,15,2,50,1.6,0.25
